Game_Id,Player_Id,Team_Id,Game_Rating,SA,GA,SV,SV_percent,TOI,PIM
26497,5109,1838,0,0,0,0,.00nan,0,0
26497,12059,1838,53,33,5,28,.848,3608000,0
26497,21503,632,27,6,3,3,.500,484000,0
26497,41085,632,57,12,1,11,.917,3124000,0
26498,8348,634,0,0,0,0,.00nan,0,0
26498,9551,627,0,0,0,0,.00nan,0,0
26498,13123,634,64,47,6,41,.872,3600000,0
26498,41088,627,87,32,1,31,.969,3600000,0
26499,4401,635,52,33,4,29,.879,3574000,0
26499,12002,625,0,0,0,0,.00nan,0,0
26499,26255,625,72,28,2,26,.929,3600000,0
26499,43012,635,0,0,0,0,.00nan,0,0
26500,3831,629,0,0,0,0,.00nan,0,0
26500,5109,1838,72,16,1,15,.938,3600000,0
26500,10436,629,88,43,3,40,.930,3516000,0
26500,12059,1838,0,0,0,0,.00nan,0,0
26501,2040,646,80,25,1,24,.960,3600000,0
26501,10184,651,18,8,4,4,.500,1021000,0
26501,13135,646,0,0,0,0,.00nan,0,0
26501,68648,651,39,15,3,12,.800,2579000,0
26502,8409,626,0,0,0,0,.00nan,0,0
26502,10935,626,54,33,5,28,.848,3600000,0
26502,17623,628,27,32,6,26,.813,3172000,0
26502,41363,628,53,3,0,3,1000,428000,0
26503,9551,627,0,0,0,0,.00nan,0,0
26503,21503,632,40,24,4,20,.833,3581000,0
26503,41085,632,0,0,0,0,.00nan,0,0
26503,41088,627,74,34,3,31,.912,3600000,0
26504,8348,634,0,0,0,0,.00nan,0,0
26504,13123,634,92,39,1,38,.974,3900000,0
26504,13896,642,0,0,0,0,.00nan,0,0
